fips,opioid_presc_rate
28115,98.5
28117,107.4
28119,72.3
28121,101
28123,92.5
28125,99.8
28127,107.7
28129,48.3
28131,158.5
28133,53.8
28135,38.1
28137,128.2
28139,106.3
28141,160.8
28143,37.5
28145,115.7
28147,67.6
28149,105.9
28151,104.3
28153,135.3
28155,155
28157,92.2
28159,116.5
28161,55
28163,62.4
30001,86.2
30003,1.2
30005,37.8
30007,35.1
30009,26.4
30011,–
30013,97.2
30015,33
30017,105.1
30019,5.7
30021,86.2
30023,96
30025,2.9
30027,79.6
30029,88.7
30031,46.7
30033,–
30035,31.3
30037,–
30039,–
30041,59.1
30043,14
30045,–
30047,64.4
30049,71.7
30051,41
30053,101.5
30055,–
30057,29.6
30059,54.1
30061,50.5
30063,71.2
30065,–
30067,44.8
30069,–
30071,84.9
30073,67.8
30075,38.6
30077,76
30079,–
30081,78.1
30083,63.8
30085,27
30087,38.8
30089,79.1
30091,–
30093,98.6
30095,42.2
30097,44.8
30099,64.8
30101,57.7
30103,–
30105,41.9
30107,46.8
30109,–
30111,86.8
37001,82.9
37003,25.4
37005,85.3
37007,77.1
37009,103.3
37011,82.9
37013,141
37015,51.6
37017,114.3
37019,110.7
37021,80.8
37023,151.5
37025,95.2
37027,135.6
37029,–
37031,101.2
37033,12.6
37035,129.2
37037,43.4
37039,125
37041,111.5
37043,120.2
37045,128
37047,177.8
37049,110.8
37051,86
37053,19
37055,107.6
37057,80.4
37059,95.5
37061,78.1
37063,49.1
37065,78.2
37067,76
37069,56.6
37071,119
37073,2.3
37075,101.8
37077,79.7
37079,28.2
37081,74.5
37083,116
37085,79.8
37087,102.7
37089,84.2
37091,136.4
37093,61.2
37095,64.1
37097,102
37099,91.7
37101,70.2
37103,24.2
37105,129.6
37107,88.2
37109,115.7
37111,87.4
37113,91.1
37115,58.8
37117,102.1
37119,54.4
37121,150.3
37123,65.3
37125,127.3
37127,92.3
37129,102.7
37131,15.6
37133,76.9
37135,42.1
37137,86.9
37139,130.8
37141,50.6
37143,36.1
37145,104.6
37147,82.9
37149,64.7
37151,71.5
37153,151.6
37155,129.7
37157,131.9
37159,80.8
37161,97.3
37163,87.2
37165,191.5
37167,111.1
37169,86.1
37171,164
37173,88.5
37175,98.9
37177,88.8
37179,67.9
37181,120.9
37183,54.5
37185,32.3
37187,87.1
37189,76.8
37191,78.6
37193,91.4
37195,90.7
37197,69.3
37199,98.7
38001,119.8
38003,63.6
38005,6.9
38007,–
38009,35.3
38011,55.2
38013,–
38015,67.7
38017,30.9
38019,46.2
38021,66.3
38023,0.2
38025,17
38027,81
38029,55.4
38031,106.4
38033,–
38035,58.4
38037,0.5
38039,27.2
38041,20.9
38043,33.3
38045,38.5
38047,0.4
38049,17.9
38051,42.3
38053,33.5
38055,41.3
38057,68.1
38059,41.8
38061,10.9
38063,32.7
38065,–
38067,54.1
38069,58.7
38071,120.4
38073,54.2
38075,27.2
38077,34.7
38079,4.2
38081,0.1
38083,–
38085,–
38087,–
38089,67
38091,–
38093,74.7
38095,0.5
38097,27.1
38099,43.9
38101,60.8
38103,77.9
38105,59.7
31001,77.8
31003,48.6
31005,–
31007,–
31009,–
31011,2
31013,101.7
31015,–
31017,55.5
31019,73.9
31021,20.8
31023,65.6
31025,25.9
31027,34.4
31029,64.4
31031,91.3
31033,45.5
31035,1
31037,0.5
31039,29.1
31041,91.1
31043,73.2
31045,72.9
31047,56.3
31049,3.9
31051,12.7
31053,100.7
31055,64.5
31057,124.9
31059,2.6
31061,–
31063,–
31065,2.9
31067,62.2
31069,117.3
31071,13.3
31073,–
31075,–
31077,–
31079,77.5
31081,65.2
31083,86
31085,–
31087,–
31089,59.5
31091,–
31093,70.6
31095,118
31097,46.1
31099,62.7
31101,119.6
31103,–
31105,2.9
31107,27.7
31109,62.9
31111,95.9
31113,–
31115,–
31117,–
31119,89.1
31121,61.3
31123,60.4
31125,44.6
31127,93.9
31129,43.4
31131,86.9
31133,70.9
31135,68
31137,114.5
31139,28.6
31141,77.4
31143,24.7
31145,111.5
31147,51.6
31149,–
31151,52.8
31153,53.3
31155,31.6
31157,94.2
31159,51.6
31161,0.8
31163,2.1
31165,–
31167,–
31169,4.1
31171,–
31173,1.6
31175,7.2
31177,58.3
31179,51.4
31181,5.6
31183,–
31185,99.8
33001,68.6
33003,75.1
33005,65.1
33007,70.8
33009,67.8
33011,54.6
33013,73.7
33015,63.1
33017,79.9
33019,54.9
34001,74.5
34003,42.5
34005,69
34007,84.8
34009,88.2
34011,91.7
34013,39.6
34015,78.6
34017,36.9
34019,42.8
34021,54.1
34023,41.4
34025,55.1
34027,42.3
34029,66.5
34031,45.9
34033,72
34035,37
34037,59.6
34039,40.8
34041,70.6
35001,68.7
35003,–
35005,81.2
35006,39.9
35007,69.9
35009,63.6
35011,7.3
35013,46.8
35015,89.5
35017,83.8
35019,7
35021,–
35023,–
35025,72.2
35027,92.6
35028,70.6
35029,72.8
35031,22.6
35033,–
35035,55.9
35037,86.8
35039,83
35041,27
35043,54.6
35045,67.9
35047,68.8
35049,82
35051,91.6
35053,59.3
35055,85.8
35057,26
35059,44.7
35061,79.6
32001,108
32003,77.5
32005,104.4
32007,64
32009,–
32011,–
32013,78.8
32015,0.3
32017,85.6
32019,92.4
32021,120.5
32023,137
32027,38.9
32029,–
32031,83.4
32033,101.3
32510,130.1
36001,46.6
36003,58.8
36005,30.7
36007,69.6
36009,73.4
36011,49.3
36013,72.6
36015,84.6
36017,52.6
36019,76.9
36021,61.5
36023,59.4
36025,66.3
36027,55.6
36029,67
36031,46.8
36033,67.7
36035,69.1
36037,54.9
36039,64.6
36041,–
36043,49.9
36045,59.4
36047,23.3
36049,41
36051,49.2
36053,59.5
36055,49.1
36057,81.5
36059,40.7
36061,39.3
36063,76.2
36065,61.8
36067,55.8
36069,51.6
36071,58.6
36073,49.9
36075,58
36077,56.5
36079,41
36081,23.9
36083,57.6
36085,44.8
36087,34.6
36089,69.9
36091,51.1
36093,53.5
36095,47.7
36097,57.9
36099,45.4
36101,67.2
36103,51.3
36105,70.2
36107,43.4
36109,52.6
36111,67.6
36113,82.9
36115,66.2
36117,54.3
36119,35
36121,51.5
36123,33.5
39001,83.9
39003,89.8
39005,45.1
39007,67.6
39009,83.2
39011,50.1
39013,88.3
39015,86.6
39017,77
39019,41.7
39021,70.3
39023,104.5
39025,82.3
39027,102.8
39029,84.2
39031,80.7
39033,87.5
39035,61.3
39037,52.1
39039,80.2
39041,54.6
39043,84.3
39045,73.5
39047,99.2
39049,72
39051,74.7
39053,87.5
39055,54.8
39057,74.4
39059,97.3
39061,72.2
39063,61.5
39065,69.2
39067,65.2
39069,54.5
