fips,opioid_presc_rate,total_population,average_household_size,percent_with_healthcare,median_household_income,median_age,perc_foreign_born,percent_grad_high_school,perc_male,poverty_population,opioid_death_rate
37193,91.4,68946,2.48,1,33232,43.7,0.039538189307574044,0.7504560828123399,0.4929945174484379,15791,272.04
37195,90.7,81581,2.5,1,39847,39.9,0.07194077052254814,0.7982809905290242,0.4753067503462816,18475,164.093
37197,69.3,37971,2.45,1,37796,42.9,0.05527902873245372,0.7747489239598279,0.49263911932790816,7643,239.795
37199,98.7,17604,2.35,0.9981851179673321,37484,46.2,0.030561236082708474,0.8244492374056386,0.4863099295614633,3775,271.524
38001,119.8,2341,2.14,1,52118,47.6,0.01794105083297736,0.9594438006952491,0.5057667663391713,220,NA
38003,63.6,11097,2.07,1,53141,42.8,0.027304676939713435,0.9156935711535994,0.4977921960890331,841,228.812
38005,6.9,6794,2.97,0.9883040935672515,41296,31,0.004268472181336473,0.8501425978739954,0.5147188695908155,2260,NA
38009,35.3,6634,2.09,1,56349,46,0.02215857702743443,0.8978586723768737,0.5263792583659934,540,NA
38015,67.7,88223,2.3,0.9992712698123519,65254,36.8,0.01775047323260374,0.9350605539250413,0.4965711889189894,6946,169.335
38017,30.9,162500,2.29,0.998671096345515,53289,31.9,0.06334769230769231,0.9493115523896694,0.5040307692307693,19082,123.253
38029,55.4,3463,2.13,1,44051,51.2,0.006641640196361536,0.8377946464242908,0.5018769852728848,386,NA
38035,58.4,68979,2.25,1,48676,29.4,0.0400411719508836,0.9283303103587264,0.513765058930979,11223,154.749
38049,17.9,5817,2.2,1,57386,43.3,0.010486505071342616,0.8972535556645415,0.5236376138903215,738,NA
38053,33.5,9615,2.93,1,72794,32.2,0.008008320332813313,0.9174872665534805,0.5280291211648466,1309,NA
38055,41.3,9451,2.18,0.9960159362549801,55686,47.1,0.011533171093006032,0.9121150493898896,0.5060840122738335,1072,226.128
38057,68.1,8633,2.31,1,72704,45.6,0.008340090350978803,0.9001290738948048,0.5176647747017259,693,NA
38059,41.8,28985,2.3,1,62418,38.9,0.007866137657409004,0.9161972182062914,0.5084353976194583,2270,175.273
38061,10.9,9253,2.83,1,68188,34.8,0.015670593321085054,0.9199796988665201,0.5496595698692316,1226,NA
38067,54.1,7206,2.14,1,53504,47.2,0.044962531223980015,0.8957418369295398,0.5126283652511796,454,NA
38069,58.7,4395,2.08,1,42563,46.9,0.004323094425483504,0.8592870544090057,0.5051194539249146,693,NA
38071,120.4,11566,2.2,1,50841,42.5,0.010202317136434377,0.9023061327927014,0.5094241743039944,1118,216.506
38073,54.2,5453,2.25,1,56500,44.5,0.00953603520997616,0.8993236212278877,0.5112781954887218,490,NA
38077,34.7,16317,2.28,1,55390,38.9,0.015566586995158423,0.913297007934232,0.5156585156585156,1633,140.647
38079,4.2,14498,3,0.9833333333333333,33277,30.3,0.005931852669333701,0.8266389940178245,0.49110222099599943,5054,279.692
38089,67,28628,2.44,1,72099,35,0.037236272181081456,0.900031921685465,0.519037306133855,1866,163.467
38093,74.7,21076,2.15,1,52359,40.6,0.012241412032643765,0.8904034145669834,0.5075441260201177,2130,212.988
38097,27.1,8077,2.35,1,54960,41.4,0.014980809706574224,0.9193046660567246,0.5016714126532128,804,NA
38099,43.9,11005,2.15,0.9886255924170616,49411,45.4,0.03471149477510223,0.8617434040351785,0.5120399818264425,1112,275.128
38101,60.8,67736,2.49,1,61393,31.1,0.036745600566906816,0.9300877235496535,0.5178339435455297,4919,125.338
38105,59.7,29619,2.4,1,88013,32.6,0.0245450555386745,0.9065226422933111,0.542422093926196,2913,142.703
31001,77.8,31442,2.35,1,50635,37.8,0.056962025316455694,0.9065498745140496,0.5034348959989823,3499,179.902
31003,48.6,6486,2.27,1,45609,46.5,0.019734813444341658,0.9092102384598556,0.49784150477952516,811,NA
31013,101.7,11310,2.31,1,51691,40.8,0.020335985853227233,0.9057431534166445,0.5071618037135278,1886,214.401
31017,55.5,3078,2,1,36078,47.6,0.0022742040285899934,0.8860485268630849,0.4766081871345029,499,NA
31019,73.9,47958,2.49,0.998825831702544,53624,32.5,0.0431836189999583,0.9350604609501498,0.49795654531048,5978,105.299
31021,20.8,6647,2.33,1,47429,47.4,0.012486836166691741,0.9072708113804004,0.4924025876335189,620,NA
31023,65.6,8256,2.26,1,51027,44.7,0.020348837209302327,0.9071788632018077,0.5041182170542635,682,NA
31025,25.9,25360,2.57,1,65619,41.5,0.013525236593059937,0.9467660828853823,0.5019321766561514,1556,174.642
31027,34.4,8675,2.39,1,52250,44.8,0.0029971181556195966,0.9307835505161618,0.5067435158501441,864,NA
31029,64.4,3897,2.25,1,52422,44.9,0.06979727995894278,0.8892895780742878,0.4855016679497049,337,NA
31031,91.3,5770,2.14,1,48750,43.9,0.026516464471403812,0.9095215537659876,0.4724436741767764,648,NA
31033,45.5,10077,2.27,1,53814,39.9,0.02093877145975985,0.940384064201777,0.4922099831298998,1150,NA
31035,1,6382,2.4,1,51470,43.2,0.043560012535255405,0.8919781221513218,0.5053274835474773,580,NA
31039,29.1,9078,2.41,1,50013,43.6,0.04196959682749504,0.879960642833716,0.49724608944701476,1071,NA
31041,91.1,10802,2.25,0.9990494296577946,46468,43.8,0.018237363451212737,0.9188186995099987,0.4955563784484355,1200,185.065
31043,73.2,20798,2.81,1,49786,33.7,0.20819309548995096,0.735626767200754,0.4856236176555438,3528,102.614
31045,72.9,9136,2.22,1,41038,33.7,0.03469789842381786,0.9429554509235785,0.48172066549912435,1428,322.976
31047,56.3,24069,2.71,0.9638403990024937,48329,36.2,0.18151979724957415,0.7589589327753073,0.5044663259794757,3618,156.514
31053,100.7,36725,2.37,1,49068,39.4,0.05268890401633764,0.8776730190571715,0.48893124574540503,4061,225.807
31055,64.5,537655,2.52,0.9946967582439491,54659,34,0.09096725595409696,0.8955710794485175,0.49223386744287695,76738,110.451
31061,NA,3105,2.15,1,45905,49.9,0.012560386473429951,0.9217657342657343,0.5030595813204509,396,NA
31065,2.9,4887,2.11,1,39934,46.8,0.004501739308369143,0.8796189376443418,0.4861878453038674,820,NA
31067,62.2,21818,2.3,0.9943977591036415,50010,44.6,0.00884590704922541,0.8936569579288026,0.49468328902740855,2080,289.004
31079,77.5,60792,2.67,0.9887855579868708,49252,35.8,0.13927819449927623,0.8280649623443824,0.5005592841163311,9092,200.956
31081,65.2,9100,2.45,1,59311,42.9,0.008901098901098902,0.9384914211719003,0.5,780,NA
31089,59.5,10398,2.25,1,46728,45.5,0.02029236391613772,0.9210053859964094,0.49538372763993077,1209,282.927
31093,70.6,6347,2.47,1,50030,43.3,0.006617299511580274,0.9189371763116415,0.5095320623916811,658,NA
31095,118,7433,2.18,1,43008,45.5,0.007264899771290192,0.8960135389244077,0.4899771290192385,909,NA
31097,46.1,5167,2.13,1,45429,42.3,0.04122314689374879,0.8780942241149854,0.5941552157925295,471,NA
31101,119.6,8146,2.06,1,41781,49.1,0.023201571323348883,0.9191767068273092,0.5,931,336.742
31105,2.9,3720,2.33,1,40242,45.7,0.020161290322580645,0.8783473603672532,0.49650537634408604,496,NA
31107,27.7,8556,2.24,1,45411,47.6,0.009817671809256662,0.9102650117410265,0.48644226273959795,1117,NA
31109,62.9,298080,2.42,0.9958350402840366,51830,32.9,0.07342995169082125,0.9350174622917696,0.5013888888888889,41796,128.538
31111,95.9,35896,2.34,1,50194,40.1,0.017049253398707376,0.9160042612472343,0.4936761756184533,4488,213.783
31119,89.1,35111,2.43,1,50218,37.5,0.06852553330864972,0.8829852311456786,0.49520093418017147,5119,197.058
31121,61.3,7776,2.28,1,51012,43.8,0.014917695473251029,0.921731123388582,0.4920267489711934,667,NA
31127,93.9,7168,2.31,1,49656,39.1,0.011579241071428572,0.9476719350704828,0.48563058035714285,574,NA
31131,86.9,15842,2.41,1,50275,41.8,0.041282666330008835,0.9096191091026469,0.4949501325590203,1696,NA
31137,114.5,9216,2.4,1,50404,42,0.024305555555555556,0.9267907857368255,0.4990234375,706,259.011
31139,28.6,7184,2.4,0.9755671902268761,54482,41.3,0.008351893095768375,0.9387295081967213,0.5055679287305123,417,NA
31141,77.4,32642,2.53,1,56318,38,0.08099993872924453,0.8802240210843374,0.5079345628331597,2728,124.768
31145,111.5,10946,2.27,1,42931,41.8,0.020372738900054813,0.9331619537275064,0.5006395030148,1118,242.492
31147,51.6,8201,2.14,1,42750,47,0.0030484087306426044,0.9165126826810012,0.4976222411900988,1557,NA
31151,52.8,14360,2.61,1,51738,36.6,0.12047353760445682,0.8409064896417534,0.517966573816156,1492,188.403
31153,53.3,169192,2.71,0.9963975765514983,70543,33.7,0.05263251217551657,0.9540747833760479,0.4998699702113575,10684,100.546
31155,31.6,20913,2.56,1,60854,41.4,0.016257830057858746,0.9344435819631642,0.505331611916033,2001,171.119
31157,94.2,36684,2.42,1,45992,38.8,0.04942209137498637,0.8663645271925526,0.4824719223639734,4877,175.718
31159,51.6,16998,2.46,1,59662,38.2,0.01759030474173432,0.9299823796717055,0.5112366160724792,1467,144.642
31161,0.8,5294,2.29,1,41985,46.1,0.01303362296939932,0.9018469656992084,0.4926331696259917,857,NA
31169,4.1,5182,2.15,1,45741,48.9,0.010034735623311463,0.9169531869875694,0.4926669239675801,604,NA
