fips,total_population
24035,48600
24037,109614
24039,25980
24041,37799
24043,149270
24045,101182
24047,51519
24510,622454
25001,214766
25003,129288
25005,552763
25007,17048
25009,763849
25011,71144
25013,468041
25015,160759
25017,1556116
25019,10556
25021,687721
25023,503681
25025,758919
25027,810935
26001,10550
26003,9476
26005,112837
26007,29068
26009,23267
26011,15424
26013,8690
26015,59147
26017,106698
26019,17437
26021,155565
26023,43706
26025,134790
26027,51952
26029,26134
26031,25690
26033,38586
26035,30710
26037,76905
26039,13895
26041,36712
26043,26012
26045,108341
26047,33018
26049,415874
26051,25501
26053,15824
26055,89907
26057,41878
26059,46178
26061,36660
26063,32290
26065,283491
26067,64064
26069,25401
26071,11507
26073,70669
26075,159759
26077,256752
26079,17230
26081,622590
26083,2198
26085,11426
26087,88235
26089,21772
26091,98902
26093,184591
26095,6477
26097,11044
26099,854689
26101,24536
26103,67582
26105,28711
26107,43301
26109,23717
26111,83624
26113,14988
26115,150436
26117,63004
26119,9401
26121,171483
26123,48029
26125,1229503
26127,26229
26129,21222
26131,6298
26133,23234
26135,8444
26137,24141
26139,273136
26141,13037
26143,24068
26145,196479
26147,160429
26149,61022
26151,42014
26153,8288
26155,69113
26157,54420
26159,75351
26161,354092
26163,1778969
26165,32751
27001,15839
27003,338764
27005,33138
27007,45434
27009,39221
27011,5134
27013,65125
27015,25391
27017,35443
27019,95715
27021,28519
27023,12154
27025,53834
27027,60879
27029,8752
27031,5194
27033,11632
27035,63048
27037,408456
27039,20290
27041,36620
27043,14230
27045,20843
27047,30897
27049,46377
27051,5961
27053,1197776
27055,18812
27057,20574
27059,38296
27061,45354
27063,10211
27065,16003
27067,42444
27069,4480
27071,13054
27073,7023
27075,10750
27077,3949
27079,27707
27081,5808
27083,25699
27085,36046
27087,5496
27089,9453
27091,20350
27093,23129
27095,25809
27097,32962
27099,39227
27101,8529
27103,33086
27105,21687
27107,6692
27109,148736
27111,57511
27113,14110
27115,29218
27117,9354
27119,31547
27121,10948
27123,527411
27125,4061
27127,15723
27129,15171
27131,64886
27133,9563
27135,15615
27137,200506
27139,137322
27141,90401
27143,15021
27145,152595
27147,36523
27149,9771
27151,9525
27153,24466
27155,3429
27157,21381
27159,13759
27161,19076
27163,246670
27165,11054
27167,6526
27169,51213
27171,128691
27173,10092
28001,31979
28003,37319
28005,12840
28007,19175
28009,8470
28011,33803
28013,14789
28015,10338
28017,17391
28019,8354
28021,9330
28023,16362
28025,20279
28027,25254
28029,28921
28031,19471
28033,168586
28035,76267
28037,7857
28039,23104
28041,14129
28043,21591
28045,45627
28047,196268
28049,245874
28051,18772
28053,8984
28055,1291
28057,23451
28059,140676
28061,16588
28063,7586
28065,11941
28067,68276
28069,10211
28071,51169
28073,58885
28075,79832
28077,12586
28079,23153
28081,85036
28083,31516
28085,34765
28087,59699
28089,100202
28091,26109
28093,36385
28095,36175
28097,10464
28099,29553
28101,21663
28103,11143
28105,49048
28107,34373
28109,55196
28111,12187
28113,40075
28115,30517
28117,25380
28119,7761
28121,146761
28123,28293
28125,4805
28127,27401
28129,16257
28131,17978
28133,27911
28135,14959
28137,28415
28139,22054
28141,19539
28143,10477
28145,27811
28147,14978
28149,48020
28151,49499
28153,20564
28155,9999
28157,9345
28159,18697
28161,12381
28163,27911
29151,13758
29153,9537
29155,17837
29157,19100
29159,42215
29161,45029
29163,18517
29165,93394
29167,31107
29169,53443
29171,4895
29173,10243
29175,25135
29177,23031
29179,6578
29181,13990
29183,374805
29185,9520
29186,17990
29187,66010
29189,1001327
29195,23334
29197,4395
29199,4873
29201,39061
29203,8317
29205,6179
29207,29837
29209,31375
29211,6512
29213,53555
29215,25735
29217,20878
29219,33043
29221,25048
29223,13397
29225,36690
29227,2082
29229,18449
29510,317850
29001,25560
29003,17328
29005,5440
29007,25783
29009,35726
29011,12166
29013,16643
29015,18854
29017,12356
29019,170770
29021,89561
29023,42951
29025,9083
29027,44566
29029,43927
29031,77606
29033,9096
29035,6284
29037,100781
29039,13892
29041,7650
29043,80904
29045,6919
29047,230361
29049,20498
29051,76533
29053,17593
29055,24660
29057,7618
29059,16564
29061,8277
29063,12782
29065,15612
29067,13516
29069,31562
29071,101828
29073,14948
29075,6785
29077,283206
29079,10256
29081,8722
29083,22034
29085,9335
29087,4615
29089,10182
29091,40326
29093,10322
29095,680905
29097,117184
29099,221577
29101,54155
29103,4035
29105,35514
29107,32916
29109,38244
29111,10172
29113,53850
29115,12401
29117,15042
29119,22763
29121,15460
29123,12401
29125,9057
29127,28840
29129,3718
29131,24956
29133,14208
29135,15801
29137,8680
29139,11939
29141,20225
29143,18411
29145,58777
29147,23186
29149,10979
30001,9291
30003,13141
30005,6598
30007,5692
30009,10268
30011,1227
30013,82090
30015,5855
30017,11945
30019,1758
30021,9365
30023,9211
30025,3057
30027,11468
30029,93333
30031,95323
30033,1047
30035,13672
30037,756
30039,3168
30041,16523
30043,11502
30045,1997
30047,29157
30049,65357
30051,2369
30053,19337
30055,1728
30057,7767
30059,1898
30061,4238
30063,111966
30065,4790
30067,15708
30069,443
30071,4167
30073,6206
30075,1703
30077,6975
30079,1372
30081,40823
30083,11132
30085,11072
30087,9352
30089,11346
30091,3630
30093,34549
30095,9288
30097,3633
30099,6074
30101,5150
30103,812
30105,7577
30107,2115
30109,986
30111,153692
31001,31442
31003,6486
31005,448
31007,820
31009,551
31011,5373
31013,11310
31015,2039
31017,3078
31019,47958
31021,6647
31023,8256
31025,25360
31027,8675
31029,3897
31031,5770
31033,10077
31035,6382
31037,10522
31039,9078
31041,10802
31043,20798
31045,9136
31047,24069
31049,1946
31051,5866
31053,36725
31055,537655
31057,2015
31059,5697
31061,3105
31063,2573
31065,4887
31067,21818
31069,1823
31071,1933
31073,1976
31075,769
31077,2476
31079,60792
31081,9100
31083,3458
31085,1084
31087,2879
31089,10398
31091,681
31093,6347
31095,7433
31097,5167
31099,6549
31101,8146
31103,711
31105,3720
31107,8556
31109,298080
31111,35896
31113,851
31115,548
31117,433
31119,35111
31121,7776
31123,4874
31125,3639
31127,7168
31129,4391
31131,15842
31133,2726
31135,2924
31137,9216
31139,7184
31141,32642
31143,5271
31145,10946
31147,8201
31149,1401
31151,14360
31153,169192
31155,20913
31157,36684
31159,16998
31161,5294
31163,3107
31165,1249
31167,6081
31169,5182
31171,675
31173,6946
31175,4254
31177,20257
31179,9425
31181,3697
31183,847
31185,13825
32001,24252
32003,2035572
32005,47259
32007,51562
32009,1141
32011,1669
32013,17067
32015,5946
32017,5194
32019,51657
32021,4566
32023,42625
32027,6722
32029,3929
32031,435019
32033,9974
32510,54482
33001,60399
33003,47513
33005,76430
33007,31870
33009,89341
33011,403972
33013,147262
33015,299006
33017,125273
33019,43135
34001,275376
34003,926330
34005,450556
34007,511998
34009,95805
34011,157035
34013,791609
34015,290298
34017,662619
34019,126250
34021,370212
34023,830300
34025,629185
34027,498192
34029,583450
34031,507574
34033,65120
34035,330604
34037,145930
34039,548744
34041,107226
35001,673943
35003,3583
35005,65811
35006,27382
35007,12997
35009,50497
35011,2020
35013,213963
35015,55641
35017,29119
35019,4526
35021,565
35023,4643
35025,68149
35027,19931
35028,17939
35029,24789
35031,73998
35033,4660
35035,65318
35037,8698
35039,39949
35041,19908
35043,136638
35045,125133
35047,28668
35049,147108
35051,11615
35053,17494
35055,32943
35057,15853
35059,4339
35061,76297
36081,2301139
36083,159900
36085,472481
36087,320688
36089,112011
36091,223774
36093,154796
36095,31913
36097,18410
36099,35144
36101,98665
36103,1501373
36105,76330
36107,50199
36109,103855
36111,181300
36113,65180
36115,62700
36117,92416
36119,967315
36121,41446
36123,25187
36001,307463
36003,48070
36005,1428357
36007,198093
36009,78962
36011,79173
36013,132646
36015,88267
36017,49549
36019,81685
36021,62195
36023,49043
36025,46901
36027,296928
36029,921584
36031,38912
36033,51280
36035,54606
36037,59458
36039,48312
36041,4760
36043,64034
36045,118947
36047,2595259
36049,27124
36051,64801
36053,72427
36055,749356
36057,49779
36059,1354612
36061,1629507
36063,214150
36065,233558
36067,468304
36069,109192
36071,375384
36073,42204
36075,121183
36077,61399
36079,99488
37001,155258
37003,37158
37005,10911
37007,26135
37009,27114
37011,17695
37013,47561
37015,20518
37017,34720
37019,115926
37021,247336
37023,89548
37025,188375
37027,81758
37029,10161
37031,68228
37033,23174
37035,154610
37037,67431
37039,27092
37041,14656
37043,10656
37045,97178
37047,57230
37049,104450
37051,324603
37053,24492
37055,34863
37057,163867
37059,41447
37061,59453
37063,288817
37065,55280
37067,361684
37069,62296
37071,209807
37073,11724
37075,8700
37077,58109
37079,21328
37081,506763
37083,53407
37085,124320
37087,59170
37089,109719
37091,24368
37093,51075
37095,5693
37097,165066
37099,40812
37101,178396
37103,10166
37105,59418
37107,58782
37109,79578
37111,44961
37113,33919
37115,21027
37117,23729
37119,990288
37121,15330
37123,27601
37125,91743
37127,94722
37129,213091
37131,21011
37133,183753
37135,138644
37137,12982
37139,40018
37141,55166
37143,13498
37145,39262
37147,173798
37149,20327
37151,142370
37153,46046
37155,134871
37157,92300
37159,138361
37161,66865
37163,63873
37165,35932
37167,60586
37169,46661
37171,73170
37173,14163
37175,32928
37177,4152
37179,213422
37181,44829
37183,976019
37185,20468
37187,12668
