fips,poverty_population
40107,2797
40109,134377
40111,7880
40113,7365
40115,7112
40117,2249
40119,18483
40121,7994
40123,6769
40125,12288
40127,2716
40129,544
40131,8271
40133,5371
40135,10261
40137,6740
40139,2733
40141,1750
40143,96498
40145,8150
40147,7307
40149,1725
40151,1283
40153,2595
41001,2353
41003,18139
41005,36894
41007,5791
41009,6638
41011,11310
41013,4048
41015,3682
41017,24220
41019,20377
41021,186
41023,1138
41025,1268
41027,3223
41029,39122
41031,4358
41033,16627
41035,12542
41037,1365
41039,70308
41041,7754
41043,22201
41045,6865
41047,57846
41049,1844
41051,136472
41053,12270
41055,386
41057,4310
41059,12733
41061,4641
41063,1033
41065,4015
41067,64861
41069,250
41071,15877
42001,8715
42003,155874
42005,8738
42007,19888
42009,6643
42011,56855
42013,18548
42015,8336
42017,36868
42019,16325
42021,20011
42023,626
42025,6909
42027,27217
42029,35053
42031,6881
42033,11306
42035,6086
42037,10067
42039,12321
42041,19984
42043,36269
42045,57202
42047,2721
42049,44595
42051,25282
42053,523
42055,17554
42057,1779
42059,4672
42061,5578
42063,14176
42065,6414
42067,3245
42069,30447
42071,55372
42073,13192
42075,14922
42077,45488
42079,48822
42081,16150
42083,6830
42085,14549
42087,7216
42089,20702
42091,52330
42093,1749
42095,27294
42097,12279
42099,4217
42101,399352
42103,5532
42105,2570
42107,18278
42109,4077
42111,9074
42113,802
42115,5455
42117,5891
42119,4554
42121,8123
42123,4891
42125,21074
42127,6164
42129,36758
42131,3030
42133,46124
44001,3396
44003,13763
44005,8005
44007,107120
44009,11939
45001,5471
45003,29126
45005,2537
45007,30915
45009,4077
45011,5819
45013,21221
45015,26327
45017,2896
45019,62119
45021,13093
45023,8734
45025,11930
45027,8163
45029,8340
45031,15878
45033,10502
45035,18737
45037,3896
45039,5566
45041,26802
45043,12557
45045,72169
45047,15875
45049,3963
45051,51988
45053,6106
45055,10467
45057,14802
45059,13395
45061,4663
45063,38470
45065,1681
45067,8865
45069,7224
45071,6436
45073,14897
45075,20600
45077,22545
45079,62611
45081,4062
45083,49665
45085,18943
45087,5605
45089,9349
45091,31814
46003,223
46005,3708
46007,1361
46009,576
46011,4811
46013,3613
46015,789
46017,711
46019,1082
46021,140
46023,1970
46025,566
46027,3255
46029,2806
46031,1865
46033,850
46035,2379
46037,1200
46039,330
46041,1523
46043,246
46045,479
46047,1097
