fips,opioid_death_rate
35051,366.366
35053,229.048
35055,108.876
35057,222.193
35061,153.386
36001,104.583
36003,203.921
36005,79.892
36007,173.549
36009,186.67
36011,179.808
36013,179.917
36015,224.74
36017,212.026
36019,186.252
36021,201.676
36023,197.628
36025,298.75
36027,148.401
36029,204.984
36031,233.584
36033,200.361
36035,187.635
36037,182.962
36039,178.917
36041,NA
36043,193.251
36045,182.447
36047,47.734
36049,197.283
36051,154.069
36053,186.46
36055,138.954
36057,131.91
36059,79.471
36061,55.423
36063,216.757
36065,208.919
36067,191.98
36069,207.597
36071,107.592
36073,191.07
36075,224.394
36077,149.758
36079,104.146
36081,47.363
36083,147.435
36085,74.788
36087,79.87
36089,199.931
36091,150.185
36093,137.817
36095,182.01
36097,281.784
36099,296.173
36101,204.25
36103,100.765
36105,192.511
36107,209.188
36109,153.522
36111,185.242
36113,224.573
36115,215.21
36117,194.938
36119,68.237
36121,154.446
36123,164.507
37001,159.686
37003,152.292
37005,248.894
37007,149.324
37009,256.277
37011,211.235
37013,321.929
37015,251.838
37017,210.426
37019,178.019
37021,141.358
37023,231.849
37025,120.542
37027,260.286
37029,NA
37031,238.061
37033,222.61
37035,138.055
37037,131.501
37039,218.599
37041,312.869
37043,238.204
37045,167.792
37047,164.587
37049,225.24
37051,127.168
37053,166.609
37055,191.859
37057,172.198
37059,233.261
37061,125.49
37063,81.316
37065,255.073
37067,127.587
37069,129.82
37071,135.045
37073,270.082
37075,257.069
37077,159.238
37079,174.792
37081,123.722
37083,197.041
37085,110.788
37087,219.175
37089,168.113
37091,186.443
37093,116.406
37095,NA
37097,141.109
37099,177.553
37101,132.672
37103,223.464
37105,186.192
37107,193.694
37109,179.874
37111,230.727
37113,226.902
37115,229.616
37117,263.249
37119,69.205
37121,231.39
37123,167.773
37125,174.365
37127,195.734
37129,98.889
37131,220
37133,125.577
37135,81.808
37137,210.592
37139,208.208
37141,159.079
37143,254.968
37145,160.371
37147,163.074
37149,250.811
37151,211.273
37153,253.677
37155,165.872
37157,215.553
37159,185.803
37161,307.132
37163,198.023
37165,195.778
37167,200.688
37169,208.257
37171,183.046
37173,264.882
37175,238.934
37179,63.546
37181,207.938
37183,61.999
37185,190.888
37187,229.602
37189,87.163
37191,126.46
37193,272.04
37195,164.093
37197,239.795
37199,271.524
38001,NA
38003,228.812
38005,NA
38009,NA
38015,169.335
38017,123.253
38029,NA
38035,154.749
38049,NA
38053,NA
38055,226.128
38057,NA
38059,175.273
38061,NA
38067,NA
38069,NA
38071,216.506
38073,NA
38077,140.647
38079,279.692
38089,163.467
38093,212.988
38097,NA
38099,275.128
38101,125.338
38105,142.703
39001,311.75
39003,239.055
39005,160.292
39007,233.124
39009,167.709
39011,143.81
39013,173.285
39015,294.796
39017,165.017
39019,234.92
39021,304.54
39023,266.348
39025,193.575
39027,183.762
39029,218.932
39031,204.907
39033,261.388
39035,165.766
39037,227.896
39039,235.861
39041,97.219
39043,189.064
39045,199.873
39047,317.339
39049,144.324
39051,171.708
39053,359.82
39055,150.967
39057,129.275
39059,314.876
39061,157.83
39063,180.567
39065,244.646
39067,235.187
39069,166.492
39071,290.502
39073,285.815
39075,159.323
39077,164.274
39079,292.263
39081,197.889
39083,198.967
39085,218.272
39087,294.06
39089,245.647
39091,228.053
39093,240.889
39095,213.879
39097,241.83
39099,186.515
39101,233.501
39103,139.938
39105,389.189
39107,107.556
39109,166.222
39111,NA
39113,204.804
39115,202.648
39117,182.669
39119,262.583
39121,146.915
39123,184.565
39125,222.635
39127,281.126
39129,241.466
39131,230.824
39133,160.572
39135,230.32
39137,149.753
39139,180.832
39141,283.117
39143,176.976
39145,295.71
39147,195.111
39149,193.324
39151,219.747
39153,203.406
39155,207.11
39157,194.763
39159,137.043
39161,141.034
39163,255.398
39165,106.138
39167,193.037
39169,229.244
39171,294.459
39173,165.106
39175,162.763
40001,171.961
40003,NA
40005,188.269
40009,173.187
40011,NA
40013,197.485
40015,226.681
40017,81.3
40019,224.483
40021,147.844
40023,154.518
40027,73.927
40031,131.82
40033,NA
40035,NA
40037,114.988
40039,102.414
40041,194.721
40045,NA
40047,132.582
40049,240.678
40051,170.158
40059,NA
40061,251.039
40063,206.398
40065,121.583
40067,NA
40069,261.568
40071,164.653
40073,NA
40075,NA
40077,259.266
40079,224.57
40081,145.179
40083,107.324
40085,330.099
40087,144.77
40089,298.58
40091,186.727
40095,240.875
40097,168.622
40099,222.733
40101,156.886
40103,NA
40105,NA
40107,189.036
40109,111.882
40111,124.959
40113,115.048
40115,217.727
40117,127.389
40119,78.885
40121,190.161
40123,159.144
40125,165.998
40127,NA
40131,104.614
40133,138.85
40135,225.214
40137,204.128
40139,104.275
40143,82.9
40145,93.976
40147,88.314
40149,183.454
40151,NA
40153,168.156
41001,342.487
41003,108.519
41005,165.661
41007,258.853
41009,267.796
41011,376.406
41013,332.3
